,Port Returns,Port Risk,Sharpe Ratio,Portfolio Weights
94,0.755343714291457,0.836278832332318,0.9032199370452326,[0.01392789 0.35726302 0.62880908]
95,0.7541792101178345,0.8203909061807029,0.9192925036540028,[0.07406758 0.30174802 0.6241844 ]
96,0.6928055947974366,0.6836815965663594,1.013345391007891,[0.42941874 0.35227102 0.21831024]
97,0.7526731016755165,0.8110666644490011,0.9280039911230301,[0.1054186  0.27905333 0.61552807]
98,0.7722593547885283,0.8200994678375696,0.9416654748293086,[0.22110662 0.02063941 0.75825397]
99,0.7170398489145358,0.7032406158299725,1.0196223494120533,[0.41541008 0.19873751 0.3858524 ]
100,0.6730507483267878,0.6316190563873196,1.0655960131672493,[0.70254935 0.20063647 0.09681418]
101,0.7212933174775983,0.7283476253750193,0.9903146414546367,[0.30959594 0.28110015 0.4093039 ]
102,0.6649483753527043,0.6193340062816489,1.0736506773540735,[0.79916144 0.1547434  0.04609516]
103,0.726360615230233,0.7825963953899614,0.9281420404042283,[0.09611585 0.47167825 0.43220591]
104,0.729343802452524,0.7953128536204748,0.9170527033888083,[0.05694796 0.49237927 0.45067277]
105,0.6920669958642796,0.6714374594984583,1.030724434679636,[0.49047811 0.2928247  0.21669719]
106,0.6773700639839314,0.773081595238857,0.8761947874009938,[0.06888972 0.84079796 0.09031233]
107,0.7207909923541903,0.738921363584467,0.9754637338642812,[0.25840939 0.33872524 0.40286536]
108,0.753800787021158,0.765103770886154,0.9852268616426962,[0.34601095 0.01676598 0.63722307]
109,0.7224352137354764,0.7052519564085203,1.0243647070678987,[0.43562492 0.1398778  0.42449728]
110,0.7127653373216034,0.7140862666985087,0.9981501823539998,[0.34124462 0.30686983 0.35188555]
111,0.7135978370226268,0.6892413017818841,1.0353381829814523,[0.4748646  0.15976843 0.36536697]
112,0.7387288784239119,0.8002461213484753,0.9231270964226579,[0.07558681 0.40747082 0.51694237]
113,0.7203884164100601,0.7279890701487121,0.9895593848172758,[0.30714071 0.28998296 0.40287633]
114,0.779984818541506,0.8609770660436438,0.9059298433182282,[0.08461173 0.11133134 0.80405693]
115,0.6843067955102913,0.6838088628351245,1.0007281752288237,[0.41695932 0.42448728 0.1585534 ]
116,0.7146553933871073,0.7006832186725707,1.0199407868523047,[0.41695431 0.21366853 0.36937716]
117,0.6941081801977962,0.7172447459912562,0.9677424394911607,[0.2803123  0.5009192  0.21876849]
118,0.6976557289490123,0.6402096323002598,1.089730134865903,[0.72000304 0.01125263 0.26874434]
119,0.6677850718175695,0.673953291008587,0.9908477052144272,[0.46439069 0.48909549 0.04651382]
120,0.7301933625342983,0.7184426309858936,1.016355838367052,[0.41335421 0.10953769 0.4771081 ]
121,0.7376534670406226,0.7273569068882555,1.0141561316801369,[0.42049644 0.05016051 0.52934305]
122,0.6770051614713783,0.7694871397277651,0.8798134842265126,[0.0814351  0.83006468 0.08850022]
123,0.677866585211406,0.7369434215115942,0.9198353162865451,[0.19695513 0.7019051  0.10113977]
